mode,feature_set_name,round_id,n_features,included_features,excluded_features,rationale,methodological_risk,maintenance_cost,expected_robustness,cbcl_dependency
caregiver,compact_generalization_first,1,16,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|conners_total|swan_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_nonmissing_ratio|v13_parent_signal_density,,precision+generalization clean engineering,low_to_medium,low,high,medium
caregiver,compact_precision_focused,1,24,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_behavior_burden|v13_parent_impact_burden|v13_cbcl_sdq_external_gap|v13_parent_nonmissing_ratio,,precision+generalization clean engineering,low_to_medium,medium,medium,high
caregiver,v12_winner_replay,1,21,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_parent_nonmissing_ratio|v13_parent_source_count,,precision+generalization clean engineering,low_to_medium,medium,medium,medium
caregiver,balanced_clinical_engineered,2,26,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_parent_impact_burden|v13_behavior_internalizing_gap|v13_parent_signal_density,,precision+generalization clean engineering,low_to_medium,medium,medium,high
caregiver,burden_context_engineered,2,26,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_regulation_load|v13_cross_domain_burden|v13_behavior_internalizing_gap,,precision+generalization clean engineering,low_to_medium,medium,medium,high
caregiver,missingness_aware_clean,2,24,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_nonmissing_ratio|v13_parent_missing_count|v13_parent_source_count|v13_parent_signal_density,,precision+generalization clean engineering,low_to_medium,medium,high,high
caregiver,recall_support_engineered,2,25,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_regulation_load|v13_subtype_context_proxy|v13_behavior_x_impact,,precision+generalization clean engineering,low_to_medium,medium,medium,high
caregiver,source_aware_clean,2,25,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_source_count|v13_parent_nonmissing_ratio|v13_parent_missing_count|v13_parent_signal_density|v13_cbcl_sdq_internal_gap,,precision+generalization clean engineering,low_to_medium,medium,medium,high
caregiver,subtype_context_engineered,2,25,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_subtype_context_proxy|v13_behavior_internalizing_gap|v13_cbcl_sdq_external_gap|v13_cbcl_sdq_internal_gap|v13_behavior_x_impact,,precision+generalization clean engineering,low_to_medium,medium,medium,high
caregiver,hybrid_clean_precision_generalization,3,33,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_parent_impact_burden|v13_cross_domain_burden|v13_behavior_internalizing_gap|v13_cbcl_sdq_external_gap|v13_cbcl_sdq_internal_gap|v13_parent_nonmissing_ratio|v13_parent_signal_density|v13_behavior_x_impact|v13_internalizing_x_neurodev|v13_subtype_context_proxy,,precision+generalization clean engineering,low_to_medium,high,high,high
psychologist,compact_generalization_first,1,18,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|conners_total|swan_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_nonmissing_ratio|v13_parent_signal_density|ysr_internalizing_proxy|v13_cross_source_agreement,,precision+generalization clean engineering,low_to_medium,low,high,medium
psychologist,compact_precision_focused,1,30,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_parent_behavior_burden|v13_parent_impact_burden|v13_cbcl_sdq_external_gap|v13_parent_nonmissing_ratio,,precision+generalization clean engineering,low_to_medium,medium,medium,high
psychologist,v12_winner_replay,1,24,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_parent_nonmissing_ratio|v13_parent_source_count|ysr_internalizing_proxy|scared_sr_total|v13_cross_source_agreement,,precision+generalization clean engineering,low_to_medium,medium,medium,medium
psychologist,balanced_clinical_engineered,2,32,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_parent_impact_burden|v13_behavior_internalizing_gap|v13_parent_signal_density,,precision+generalization clean engineering,low_to_medium,medium,medium,high
psychologist,burden_context_engineered,2,32,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_regulation_load|v13_cross_domain_burden|v13_behavior_internalizing_gap,,precision+generalization clean engineering,low_to_medium,medium,medium,high
psychologist,missingness_aware_clean,2,30,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_parent_nonmissing_ratio|v13_parent_missing_count|v13_parent_source_count|v13_parent_signal_density,,precision+generalization clean engineering,low_to_medium,medium,high,high
psychologist,recall_support_engineered,2,31,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_regulation_load|v13_subtype_context_proxy|v13_behavior_x_impact,,precision+generalization clean engineering,low_to_medium,medium,medium,high
psychologist,source_aware_clean,2,34,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_parent_source_count|v13_parent_nonmissing_ratio|v13_parent_missing_count|v13_parent_signal_density|v13_cbcl_sdq_internal_gap|v13_self_internalizing_burden|v13_parent_self_gap_internalizing|v13_cross_source_agreement,,precision+generalization clean engineering,low_to_medium,high,medium,high
psychologist,subtype_context_engineered,2,31,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_subtype_context_proxy|v13_behavior_internalizing_gap|v13_cbcl_sdq_external_gap|v13_cbcl_sdq_internal_gap|v13_behavior_x_impact,,precision+generalization clean engineering,low_to_medium,medium,medium,high
psychologist,hybrid_clean_precision_generalization,3,42,age_years|sex_assigned_at_birth|site|release|has_cbcl|has_sdq|has_conners|has_swan|cbcl_rule_breaking_proxy|cbcl_aggressive_behavior_proxy|cbcl_attention_problems_proxy|cbcl_externalizing_proxy|cbcl_internalizing_proxy|sdq_conduct_problems|sdq_impact|sdq_total_difficulties|conners_total|swan_total|scared_p_total|ari_p_symptom_total|has_ysr|has_scared_sr|ysr_internalizing_proxy|scared_sr_total|cdi_total|mfq_sr_total|v13_parent_behavior_burden|v13_parent_internalizing_burden|v13_parent_neurodev_burden|v13_parent_impact_burden|v13_cross_domain_burden|v13_behavior_internalizing_gap|v13_cbcl_sdq_external_gap|v13_cbcl_sdq_internal_gap|v13_parent_nonmissing_ratio|v13_parent_signal_density|v13_behavior_x_impact|v13_internalizing_x_neurodev|v13_subtype_context_proxy|v13_self_internalizing_burden|v13_parent_self_gap_internalizing|v13_cross_source_agreement,,precision+generalization clean engineering,low_to_medium,high,high,high
