domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
adhd,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,default_0_5,0.5,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,malo,0.0630305368757578,REJECT_AS_PRIMARY,caregiver,ACTIVE_LIMITED_USE,no,yes,no,3.9,limited,shortcut risk; mode fragility; low precision,no,guardian,no,no,no,no,0.9276402822180576,none,not_required,yes,yes,no,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.871,f1=0.726,p=0.621,r=0.872,brier=0.087]; mode_fragility_flag; shortcut_risk_flag; class=REJECT_AS_PRIMARY",unchanged
adhd,caregiver_2_3,rebuild_v2,rf,engineered_compact,isotonic,default_0_5,0.5,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,malo,0.0068441553669201,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,26.6,limited,mode fragility; low precision,no,guardian,no,no,no,no,0.9492613824275162,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.881,f1=0.769,p=0.702,r=0.851,brier=0.073]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,caregiver_full,rebuild_v2,rf,engineered_compact,isotonic,recall_constrained,0.4049999999999999,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,malo,0.0291404843273435,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,33.1,limited,mode fragility; low precision,no,guardian,no,no,no,no,0.9506394002866276,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.875,f1=0.778,p=0.740,r=0.819,brier=0.069]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_1_3,rebuild_v2,rf,engineered_compact,isotonic,balanced,0.18,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,malo,0.001570940359387,HOLD_FOR_LIMITATION,psychologist,ACTIVE_LIMITED_USE,no,yes,no,25.7,limited,mode fragility; low precision,no,psychologist,no,no,no,no,0.9259453202513506,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.874,f1=0.725,p=0.615,r=0.883,brier=0.084]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_2_3,rebuild_v2,rf,engineered_pruned,isotonic,precision_min_recall,0.5049999999999999,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,malo,0.0360489471943556,HOLD_FOR_LIMITATION,psychologist,ACTIVE_LIMITED_USE,no,yes,no,32.0,limited,mode fragility; low precision,no,psychologist,no,no,no,no,0.9539604233270864,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.877,f1=0.776,p=0.729,r=0.830,brier=0.068]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_full,rebuild_v2,rf,engineered_full,isotonic,precision_min_recall,0.5049999999999999,0.9294117647058824,0.8404255319148937,0.9844559585492229,0.9124407452320582,0.88268156424581,0.9892652408775218,0.9271313857162288,0.0302329344052168,muy_bueno,0.015093888950134,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_LOW_CONFIDENCE,no,yes,no,60.3,low,secondary metric anomaly,no,psychologist,no,no,no,yes,0.9892652408775218,"roc_auc_gt_0_98,specificity_gt_0_98",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.912,f1=0.883,p=0.929,r=0.840,brier=0.030]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,recall_constrained,0.3199999999999999,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.0368358394115982,muy_bueno,0.0028528705780506,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,64.1,low,mode fragility,no,guardian,no,no,no,no,0.9771573604060914,none,not_required,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.901,f1=0.855,p=0.887,r=0.826,brier=0.037]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,caregiver_2_3,final_honest_improvement_v1,rf,engineered_pruned,none,balanced,0.4799999999999999,0.8681318681318682,0.9186046511627908,0.9695431472081218,0.9440738991854564,0.8926553672316384,0.9919135875339392,0.9572096459522188,0.0268054004251118,bueno,0.0286467555975288,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,68.5,low,secondary metric anomaly,no,guardian,no,no,no,yes,0.9919135875339392,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.944,f1=0.893,p=0.868,r=0.919,brier=0.027]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,caregiver_full,final_honest_improvement_v1,rf,engineered_compact,none,balanced,0.4449999999999999,0.8695652173913043,0.9302325581395348,0.9695431472081218,0.9498878526738284,0.898876404494382,0.9929465234328888,0.9704386771709956,0.0260018685275156,bueno,0.0308306772124503,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,71.6,low,secondary metric anomaly,no,guardian,no,no,no,yes,0.9929465234328888,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.950,f1=0.899,p=0.870,r=0.930,brier=0.026]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,psychologist_1_3,rebuild_v2,rf,engineered_full,isotonic,precision_min_recall,0.61,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,aceptable,-0.0092669106362885,REJECT_AS_PRIMARY,psychologist,ACTIVE_LIMITED_USE,no,yes,no,22.1,limited,secondary metric anomaly; shortcut risk; mode fragility; low recall,no,psychologist,no,no,no,yes,0.9923857868020304,"roc_auc_gt_0_98,specificity_gt_0_98",por_confirmar,yes,yes,no,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.857,f1=0.821,p=0.954,r=0.721,brier=0.036]; secondary_metric_anomaly_flag; mode_fragility_flag; shortcut_risk_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98; class=REJECT_AS_PRIMARY",unchanged
anxiety,psychologist_2_3,final_honest_improvement_v1,rf,engineered_pruned,none,balanced,0.3799999999999999,0.8247422680412371,0.9302325581395348,0.9568527918781726,0.9435426750088538,0.8743169398907104,0.9918840750796836,0.966312961726849,0.0276760963771888,aceptable,0.0323456498642427,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_LOW_CONFIDENCE,no,yes,no,69.3,low,secondary metric anomaly,no,psychologist,no,no,no,yes,0.9918840750796836,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.944,f1=0.874,p=0.825,r=0.930,brier=0.028]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,psychologist_full,final_honest_improvement_v1,rf,engineered_pruned,none,balanced,0.3799999999999999,0.8421052631578947,0.9302325581395348,0.9619289340101524,0.9460807460748436,0.8839779005524862,0.9919135875339392,0.9591820433560584,0.026434653046354,bueno,0.0314996261755794,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_LOW_CONFIDENCE,no,yes,no,70.5,low,secondary metric anomaly,no,psychologist,no,no,no,yes,0.9919135875339392,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.946,f1=0.884,p=0.842,r=0.930,brier=0.026]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.59,0.9019607843137256,0.8625,0.953125,0.9078125,0.8817891373801917,0.97841796875,0.9500801871541836,0.0563854385479201,bueno,0.0617488995812516,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,65.5,low,mode fragility; calibration concern,no,guardian,no,no,no,no,0.97841796875,none,not_required,yes,no,yes,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.908,f1=0.882,p=0.902,r=0.863,brier=0.056]; mode_fragility_flag; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,caregiver_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,precision_min_recall,0.6849999999999999,0.9280575539568344,0.80625,0.96875,0.8875,0.862876254180602,0.975859375,0.9476529887411712,0.0598134006093339,bueno,0.0880316860762493,REJECT_AS_PRIMARY,caregiver,ACTIVE_LIMITED_USE,no,yes,no,32.7,limited,shortcut risk; calibration concern,no,guardian,no,no,no,no,0.975859375,none,not_required,yes,yes,yes,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.887,f1=0.863,p=0.928,r=0.806,brier=0.060]; mode_fragility_flag; shortcut_risk_flag; calibration_concern_flag; class=REJECT_AS_PRIMARY",unchanged
conduct,caregiver_full,hybrid_final_aggressive_rescue_v6,extra_trees,dsm5_core_plus_context,none,balanced,0.1699999999999999,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,1.0,1.0,0.004063457795468,aceptable,-0.002604698506553,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,67.1,low,calibration concern,no,guardian,no,no,no,yes,1.0,"roc_auc_gt_0_98,pr_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.998,f1=0.997,p=0.994,r=1.000,brier=0.004]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,pr_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,psychologist_1_3,rebuild_v2,rf,compact_subset,sigmoid,recall_constrained,0.6449999999999999,0.9090909090909092,0.8125,0.959375,0.8859375,0.858085808580858,0.97728515625,0.9542627941351364,0.0585440516294588,aceptable,0.0691671665554384,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_LOW_CONFIDENCE,no,yes,no,64.1,low,mode fragility,no,psychologist,no,no,no,no,0.97728515625,none,not_required,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.886,f1=0.858,p=0.909,r=0.812,brier=0.059]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,psychologist_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,isotonic,balanced,0.3799999999999999,0.8846153846153846,0.8625,0.94375,0.903125,0.8734177215189873,0.9715234375,0.9324443838258124,0.0598157660888244,bueno,0.0222821894232438,ROBUST_PRIMARY,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,77.2,moderate,none,yes,psychologist,no,no,no,no,0.9715234375,none,not_required,no,no,no,ROBUST_PRIMARY,ROBUST_PRIMARY,passes_robust_gate_without_blockers,"metrics[ba=0.903,f1=0.873,p=0.885,r=0.863,brier=0.060]; class=ROBUST_PRIMARY",unchanged
conduct,psychologist_full,hybrid_final_aggressive_rescue_v6,hgb,dsm5_core_plus_context,none,balanced,0.08,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,0.99994140625,0.9998828094481228,0.0024097644020472,aceptable,-0.0041655725960432,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,72.4,moderate,none,yes,psychologist,no,no,no,yes,0.99994140625,"roc_auc_gt_0_98,pr_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.998,f1=0.997,p=0.994,r=1.000,brier=0.002]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,pr_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
depression,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.5299999999999999,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,malo,0.0620135029967384,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,2.7,limited,overfit risk; generalization risk; mode fragility; calibration concern; low recall,no,guardian,no,no,no,no,0.9673366834170856,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.813,f1=0.725,p=0.806,r=0.659,brier=0.060]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,caregiver_2_3,hybrid_final_decisive_rescue_v5,rf,precision_oriented_subset,none,balanced,0.4399999999999999,0.7789473684210526,0.902439024390244,0.9472361809045228,0.9248376026473832,0.8361581920903954,0.9791334722392452,0.9185052705693368,0.0439804889728679,malo,0.0258973744743971,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,48.4,limited,mode fragility; low precision,no,guardian,no,no,no,no,0.9791334722392452,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.925,f1=0.836,p=0.779,r=0.902,brier=0.044]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,caregiver_full,boosted_v3,catboost,full_eligible,none,default_0_5,0.5,0.8409090909090909,0.9487179487179488,0.965174129353234,0.9569460390355912,0.891566265060241,0.9909108304630694,0.9434742112852106,0.0293666393254193,bueno,0.0737222698860153,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_LIMITED_USE,no,yes,no,57.9,limited,secondary metric anomaly; stress sensitivity,no,guardian,no,no,no,yes,0.9909108304630694,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.957,f1=0.892,p=0.841,r=0.949,brier=0.029]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=HOLD_FOR_LIMITATION",downgrade
depression,psychologist_1_3,rebuild_v2,rf,stability_pruned_subset,isotonic,default_0_5,0.5,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,malo,0.0291976260524994,HOLD_FOR_LIMITATION,psychologist,ACTIVE_LIMITED_USE,no,yes,no,11.7,limited,overfit risk; generalization risk; mode fragility; low precision; stress sensitivity,no,psychologist,no,no,no,no,0.9597989949748744,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.864,f1=0.783,p=0.797,r=0.768,brier=0.057]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,psychologist_2_3,final_honest_improvement_v1,rf,compact_subset,none,balanced,0.3949999999999999,0.7872340425531915,0.902439024390244,0.949748743718593,0.9260938840544184,0.8409090909090909,0.9794092413285942,0.8675121016971403,0.0429005294006906,aceptable,0.0205875022628192,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_LOW_CONFIDENCE,no,yes,no,60.9,low,low precision,no,psychologist,no,no,no,no,0.9794092413285942,none,not_required,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.926,f1=0.841,p=0.787,r=0.902,brier=0.043]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",unchanged
depression,psychologist_full,boosted_v3,hgb,full_eligible,sigmoid,balanced,0.4199999999999999,0.8690476190476191,0.935897435897436,0.972636815920398,0.9542671259089168,0.9012345679012346,0.9923140706722796,0.9533076719585644,0.0253330721238639,bueno,0.0686971442578747,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_LOW_CONFIDENCE,no,yes,no,68.2,low,secondary metric anomaly,no,psychologist,no,no,no,yes,0.9923140706722796,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.954,f1=0.901,p=0.869,r=0.936,brier=0.025]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
elimination,caregiver_1_3,boosted_v3,extra_trees,boosted_eng_full,none,balanced,0.4399999999999999,0.8679245283018868,0.9019607843137256,0.9836829836829836,0.9428218839983546,0.8846153846153846,0.9967777320718496,0.9700376570280697,0.0204136197916666,bueno,0.049755585517795,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_LIMITED_USE,no,yes,no,54.8,limited,secondary metric anomaly; mode fragility,no,guardian,no,no,no,yes,0.9967777320718496,"roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.943,f1=0.885,p=0.868,r=0.902,brier=0.020]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=HOLD_FOR_LIMITATION",downgrade
elimination,caregiver_2_3,final_honest_improvement_v1,rf,engineered_compact,none,balanced,0.2799999999999999,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.9975512221423436,0.941642680399478,0.0061910966351909,bueno,0.0007809374886359,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,80.3,moderate,secondary metric anomaly,yes,guardian,no,no,no,yes,0.9975512221423436,"roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.996,f1=0.972,p=0.945,r=1.000,brier=0.006]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
elimination,caregiver_full,final_honest_improvement_v1,rf,engineered_compact,none,balanced,0.3249999999999999,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.9974838245866284,0.9433519475427756,0.0064319027372157,bueno,-0.0003872868104295,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,80.4,moderate,secondary metric anomaly,yes,guardian,no,no,no,yes,0.9974838245866284,"roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.996,f1=0.972,p=0.945,r=1.000,brier=0.006]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
elimination,psychologist_1_3,boosted_v3,extra_trees,boosted_eng_full,none,balanced,0.4299999999999999,0.9019607843137256,0.9019607843137256,0.9883449883449884,0.9451528863293568,0.9019607843137256,0.9965720553955848,0.9724347146967124,0.0210442838541666,muy_bueno,0.0717119084050609,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_LIMITED_USE,no,yes,no,59.2,limited,secondary metric anomaly; mode fragility,no,psychologist,no,no,no,yes,0.9965720553955848,"roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,yes,no,no,PRIMARY_WITH_CAVEAT,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.945,f1=0.902,p=0.902,r=0.902,brier=0.021]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=HOLD_FOR_LIMITATION",downgrade
elimination,psychologist_2_3,final_honest_improvement_v1,rf,engineered_pruned,none,balanced,0.2799999999999999,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.99784327821711,0.966688236695034,0.006443594932588,bueno,-0.0003872868104295,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,75.7,moderate,secondary metric anomaly; stress sensitivity,yes,psychologist,no,no,no,yes,0.99784327821711,"roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.996,f1=0.972,p=0.945,r=1.000,brier=0.006]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
elimination,psychologist_full,final_honest_improvement_v1,rf,engineered_compact,none,balanced,0.295,0.9454545454545454,1.0,0.9929906542056076,0.9964953271028038,0.97196261682243,0.9990564342199856,0.9917564458695416,0.0062844913150767,bueno,0.0011700425470017,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,81.7,moderate,secondary metric anomaly,yes,psychologist,no,no,no,yes,0.9990564342199856,"roc_auc_gt_0_98,pr_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.996,f1=0.972,p=0.945,r=1.000,brier=0.006]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,pr_auc_gt_0_98,specificity_gt_0_98,brier_very_low,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",unchanged
