domain,mode,role,final_status,frozen_model_id,source_campaign,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,overfit_warning,generalization_status,quality_label,ceiling_status_final,should_keep_improving,notes
adhd,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,10282cf813784d1c,hybrid_rf_targeted_fix_v4,precision_oriented_subset,rf_regularized,isotonic,balanced,0.05,20260712,24,0.62,0.9893617021276596,0.8523316062176166,0.920846654172638,0.7622950819672131,0.9299553522213648,0.6398511884834684,0.078997662903322,no,strong,malo,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
adhd,caregiver_2_3,caregiver,HOLD_FOR_LIMITATION,55e80c3b4c69d218,hybrid_rf_targeted_fix_v4,stability_pruned_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,20260712,56,0.7222222222222222,0.9680851063829788,0.9093264248704664,0.9387057656267226,0.8272727272727273,0.9447139234924484,0.7375230938994777,0.059765742724445,no,strong,malo,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
adhd,caregiver_full,caregiver,HOLD_FOR_LIMITATION,9891c3c52ca55a7f,hybrid_rf_final_ceiling_push_v3,compact_robust_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,20260712,76,0.744,0.9893617021276596,0.917098445595855,0.9532300738617572,0.8493150684931506,0.9635789879836842,0.7697424467684965,0.0537201877240856,si,acceptable,malo,marginal_room_left,only_if_new_signal,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
adhd,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,f16b8857eba98131,hybrid_rf_targeted_fix_v4,full_eligible,rf_baseline,isotonic,default_0_5,0.5,20260729,71,0.6174496644295302,0.9787234042553192,0.8523316062176166,0.915527505236468,0.757201646090535,0.9203781281005402,0.6238363802864415,0.0780898852963551,no,strong,malo,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
adhd,psychologist_2_3,psychologist,HOLD_FOR_LIMITATION,6f46b51ecffb509e,hybrid_rf_targeted_fix_v4,balanced_subset,rf_regularized,isotonic,balanced,0.05,20260712,75,0.71875,0.9787234042553192,0.9067357512953368,0.942729577775328,0.8288288288288288,0.9466293683166132,0.7298838407871105,0.0591848249657065,no,strong,malo,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
adhd,psychologist_full,psychologist,FROZEN_PRIMARY,bee9f902eaefa834,hybrid_rf_final_ceiling_push_v3,full_eligible,rf_positive_push_strong,isotonic,balanced,0.05,20260729,202,0.9484536082474226,0.9787234042553192,0.9870466321243524,0.9828850181898356,0.9633507853403142,0.9889758571271082,0.9808743934303844,0.0106475817578793,no,strong,muy_bueno,marginal_room_left,no,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
anxiety,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,84defc9e4d458464,hybrid_rf_targeted_fix_v4,full_eligible,rf_recall_guard__pos_weight_low,isotonic,recall_constrained,0.575,20260712,59,0.8529411764705882,0.6744186046511628,0.9746192893401016,0.8245189469956322,0.7532467532467533,0.9311474442214612,0.8150983489417174,0.0633146537132896,si,weak,malo,marginal_room_left,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
anxiety,caregiver_2_3,caregiver,FROZEN_WITH_CAVEAT,15e6698f93cd0e7f,hybrid_rf_targeted_fix_v4,precision_oriented_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.5049999999999999,20260712,45,0.9506172839506172,0.8953488372093024,0.9898477157360406,0.9425982764726716,0.9221556886227544,0.987191594853028,0.9401752429816774,0.0199523727379031,no,strong,muy_bueno,near_ceiling,no,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
anxiety,caregiver_full,caregiver,REJECT_AS_PRIMARY,453937e04853f52c,hybrid_rf_targeted_fix_v4,stability_pruned_subset,rf_positive_push_strong__pos_weight_mid,isotonic,default_0_5,0.5,20260712,84,0.9166666666666666,0.8953488372093024,0.9822335025380712,0.9387911698736868,0.9058823529411764,0.9863504899067406,0.9363791025648568,0.0300463237969726,no,acceptable,muy_bueno,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
anxiety,psychologist_1_3,psychologist,FROZEN_WITH_CAVEAT,b110244084499b66,hybrid_rf_final_ceiling_push_v3,precision_oriented_subset,rf_recall_guard,sigmoid,balanced,0.3249999999999999,20260712,28,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9826171644433952,0.9295370157610316,0.0436427416909049,no,acceptable,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
anxiety,psychologist_2_3,psychologist,FROZEN_PRIMARY,a518cc42f7f7229b,hybrid_rf_final_ceiling_push_v3,compact_robust_subset,rf_positive_push_strong,isotonic,balanced,0.1149999999999999,20260729,61,0.9195402298850576,0.9302325581395348,0.9822335025380712,0.9562330303388028,0.9248554913294798,0.9872506197615394,0.9424957504846044,0.0246913026023776,no,strong,muy_bueno,marginal_room_left,no,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
anxiety,psychologist_full,psychologist,FROZEN_PRIMARY,bfaaae7c6f839496,hybrid_rf_final_ceiling_push_v3,balanced_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,20260729,111,0.9176470588235294,0.9069767441860463,0.9822335025380712,0.9446051233620588,0.912280701754386,0.9867489080391924,0.941091223712369,0.0285183362553577,no,strong,muy_bueno,marginal_room_left,no,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
conduct,caregiver_1_3,caregiver,FROZEN_WITH_CAVEAT,64bd1c3403ff4b5b,hybrid_rf_final_ceiling_push_v3,full_eligible,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20260712,59,0.8841463414634146,0.90625,0.940625,0.9234375,0.8950617283950617,0.971953125,0.9328964221876328,0.0562454836327849,si,acceptable,aceptable,ceiling_confirmed,no_practical_ceiling_confirmed,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
conduct,caregiver_2_3,caregiver,FROZEN_PRIMARY,3a50eda4dda5a711,hybrid_rf_final_ceiling_push_v3,stability_pruned_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000454750391761,no,strong,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
conduct,caregiver_full,caregiver,FROZEN_PRIMARY,4f1655c7b3dba3e0,hybrid_rf_final_ceiling_push_v3,stability_pruned_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004159654265815,no,strong,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
conduct,psychologist_1_3,psychologist,FROZEN_WITH_CAVEAT,264cff4c04d5bfa6,hybrid_rf_final_ceiling_push_v3,full_eligible,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20260712,71,0.9161290322580644,0.8875,0.959375,0.9234375,0.9015873015873016,0.9743359375,0.9407784034032624,0.0595823634736541,si,acceptable,aceptable,marginal_room_left,yes,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
conduct,psychologist_2_3,psychologist,FROZEN_PRIMARY,cc693bee62598448,hybrid_rf_final_ceiling_push_v3,stability_pruned_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006574820874469,no,strong,muy_bueno,marginal_room_left,no,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
conduct,psychologist_full,psychologist,FROZEN_PRIMARY,3126fa43b0611a63,hybrid_rf_final_ceiling_push_v3,balanced_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.22018176959984e-06,no,strong,muy_bueno,marginal_room_left,no,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
depression,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,18b55a02bf756f86,hybrid_rf_targeted_fix_v4,full_eligible,rf_recall_guard__balanced_subsample,isotonic,precision_min_recall,0.5049999999999999,20260712,59,0.8227848101265823,0.7926829268292683,0.964824120603015,0.8787535237161417,0.8074534161490683,0.9549577154062998,0.7961550386138578,0.0542202988605283,si,acceptable,malo,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
depression,caregiver_2_3,caregiver,HOLD_FOR_LIMITATION,6728edc65e57f774,hybrid_rf_targeted_fix_v4,balanced_subset,rf_precision_push,isotonic,recall_constrained,0.3349999999999999,20260729,62,0.8,0.8780487804878049,0.9547738693467336,0.9164113249172692,0.8372093023255814,0.9633227111165584,0.8823485733137757,0.0446227214578062,no,strong,aceptable,marginal_room_left,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
depression,caregiver_full,caregiver,HOLD_FOR_LIMITATION,9452825a9a20f4a5,hybrid_rf_targeted_fix_v4,precision_oriented_subset,rf_positive_push_strong,isotonic,recall_constrained,0.09,20260729,68,0.8043478260869565,0.902439024390244,0.9547738693467336,0.9286064468684888,0.8505747126436781,0.9822435347469052,0.9115860387174166,0.0379881228624139,no,strong,aceptable,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
depression,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,03c8dedbba1e3622,hybrid_rf_targeted_fix_v4,balanced_subset,rf_recall_guard,isotonic,default_0_5,0.5,20260712,39,0.7674418604651163,0.8048780487804879,0.949748743718593,0.8773133962495404,0.7857142857142857,0.9571332271111656,0.801131217211973,0.0572914138464961,si,acceptable,malo,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
depression,psychologist_2_3,psychologist,FROZEN_WITH_CAVEAT,bdd9e4144485c9a4,hybrid_rf_targeted_fix_v4,stability_pruned_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.62,20260729,68,0.8918918918918919,0.8048780487804879,0.9798994974874372,0.8923887731339626,0.8461538461538461,0.976697511949994,0.8795058636783943,0.0436441818097012,si,acceptable,aceptable,near_ceiling,no,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
depression,psychologist_full,psychologist,HOLD_FOR_LIMITATION,9c7c1054f558e64b,hybrid_rf_targeted_fix_v4,full_eligible,rf_precision_push,none,recall_constrained,0.3649999999999999,20260712,202,0.8255813953488372,0.8658536585365854,0.9623115577889448,0.9140826081627652,0.8452380952380952,0.9852003922049272,0.947748794869404,0.0336535311155698,no,strong,aceptable,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
elimination,caregiver_1_3,caregiver,HOLD_FOR_LIMITATION,507e0e13740f5d94,hybrid_rf_targeted_fix_v4,compact_robust_subset,rf_precision_push__shallow_precision,none,recall_constrained,0.4549999999999999,20260712,27,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.9925413371675053,0.9432765741870176,0.0219352257182143,no,strong,aceptable,marginal_room_left,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
elimination,caregiver_2_3,caregiver,CEILING_CONFIRMED_BEST_PRACTICAL_POINT,8f64b292df663b5f,hybrid_rf_targeted_fix_v4,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,45,0.981132075471698,1.0,0.9976635514018692,0.9988317757009346,0.9904761904761904,1.0,1.0,0.0001472358949656,no,strong,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
elimination,caregiver_full,caregiver,FROZEN_PRIMARY,e52c45a26b9b6792,hybrid_rf_final_ceiling_push_v3,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,68,0.981132075471698,1.0,0.9976635514018692,0.9988317757009346,0.9904761904761904,1.0,1.0,0.0008258331826545,no,strong,muy_bueno,marginal_room_left,no,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
elimination,psychologist_1_3,psychologist,HOLD_FOR_LIMITATION,09681ec3a4b643ba,hybrid_rf_targeted_fix_v4,full_eligible,rf_baseline,isotonic,default_0_5,0.5,20260712,71,0.7884615384615384,0.7884615384615384,0.9742990654205608,0.8813803019410495,0.7884615384615384,0.983150611071172,0.8737563002188758,0.0312365922167518,si,acceptable,malo,near_ceiling,only_if_new_signal,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
elimination,psychologist_2_3,psychologist,CEILING_CONFIRMED_BEST_PRACTICAL_POINT,aea28d9c6972e932,hybrid_rf_targeted_fix_v4,compact_robust_subset,rf_positive_push_strong__pos_weight_mid,isotonic,balanced,0.05,20260712,61,0.981132075471698,1.0,0.9976635514018692,0.9988317757009346,0.9904761904761904,1.0,1.0,0.000886953296333,no,strong,muy_bueno,ceiling_confirmed,no_practical_ceiling_confirmed,v4 targeted override on fragile pair|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
elimination,psychologist_full,psychologist,FROZEN_PRIMARY,7c34bb7411229479,hybrid_rf_final_ceiling_push_v3,precision_oriented_subset,rf_positive_push_strong,isotonic,balanced,0.05,20260712,81,0.981132075471698,1.0,0.9976635514018692,0.9988317757009346,0.9904761904761904,1.0,1.0,7.795393373748641e-05,no,strong,muy_bueno,marginal_room_left,no,carried from v3 full campaign|missing_hybrid_input_audit_classification_final.csv:por_confirmar|missing_hybrid_dataset_final_registry_v1.csv:por_confirmar
