mode,route,variant,domain,best_config,selected_seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,seed_std,split_std,realism_shift_delta,missingness_sensitivity,partial_questionnaire_sensitivity,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct,operational_complexity,maintenance_complexity,suspicious_perfect_score,overfit_risk,leakage_risk
caregiver,A,direct_basic,adhd,rf_stability_500,83,23,0.9248695444040413,0.8400621118012422,0.912,0.8760310559006211,0.8804010161383036,0.9525652173913044,0.9575681689366806,0.08474297658209982,0.0036586908940093,0.0007763975155279379,0.0007763975155279379,-0.004844720496894356,-0.0019627329192546117,1.0,0.0,0.0,0.08300395256916995,1,1,no,low,low
caregiver,A,direct_basic,conduct,rf_deep_650,11,21,0.9788690476190477,0.8625,0.9927184466019419,0.9276092233009708,0.9169736842105263,0.9807797330097087,0.9482241108631788,0.04062180106569163,0.002102003407243782,0.0012135922330097637,-0.0012135922330097637,0.00012135922330092086,0.023035497572815547,1.0,0.0,0.0,0.032134532134532136,1,1,no,low,low
caregiver,A,direct_basic,elimination,rf_compact_350,29,16,0.9104668823226808,0.6832298136645963,0.912,0.7976149068322982,0.7794194902943667,0.8690931677018634,0.8735884786250765,0.14789874012572626,0.00991772799851072,0.015950310559006198,0.015950310559006198,0.015968944099378907,0.14510559006211182,1.0,0.0,0.0,0.031031468531468535,1,1,no,low,low
caregiver,A,direct_basic,anxiety,rf_stability_500,11,37,0.7826388888888889,0.9545454545454546,0.9204545454545455,0.9375,0.860078277886497,0.9774276859504131,0.9443127948407763,0.03997990308403087,0.0011363636363636576,0.001136363636363602,0.001136363636363602,0.01666666666666672,0.025378787878787945,1.0,0.0,0.0,0.08542808542808543,1,1,no,low,low
caregiver,A,direct_basic,depression,rf_compact_350,47,17,0.8698144208303379,0.9239130434782609,0.9049707602339181,0.9144419018560894,0.8947017879557562,0.9755657259089754,0.9595394601650449,0.05865893866687167,0.005077893334824048,0.0054157131960336224,-0.0054157131960336224,0.04200355962369692,0.044908466819221934,1.0,0.0,0.0,0.06705059646236118,1,1,no,low,low
caregiver,B,intermediate_mapping,adhd,rf_stability_500,11,35,0.9265518707482994,0.8416149068322982,0.914,0.8778074534161492,0.8820257611241218,0.9521242236024845,0.9561406073545247,0.08486145052859488,0.004278502348528064,0.005447204968944019,-0.005447204968944019,-0.005173913043478223,-0.006956521739130375,0.6025974025974026,0.19230769230769232,0.2050949050949051,0.0,3,3,no,low,low
caregiver,B,intermediate_mapping,conduct,rf_compact_350,47,23,0.9554213827330266,0.8625,0.9842233009708738,0.9233616504854368,0.9064898543149317,0.9828731796116504,0.9484559934434112,0.04257035048241205,0.0035898542373177266,0.0006067961165049374,-0.0006067961165049374,0.017854975728155364,0.008229672330097096,0.8837032532684707,0.04287017330495591,0.07342657342657342,0.0,3,3,no,low,low
caregiver,B,intermediate_mapping,elimination,rf_compact_350,83,17,0.9199688088745805,0.6521739130434783,0.926,0.7890869565217393,0.7619852060137176,0.8700372670807454,0.8745939418111452,0.1485723219667875,0.015028071928028635,0.007422360248447335,0.007422360248447335,-0.005795031055900568,0.1379068322981367,0.9119703825586178,0.0,0.08802961744138214,0.0,3,3,no,low,low
caregiver,B,intermediate_mapping,anxiety,rf_stability_500,29,260,0.7948717948717948,0.9393939393939394,0.9272727272727272,0.9333333333333333,0.8611111111111112,0.9713929063360881,0.9327758225494458,0.04104190767493926,0.0,0.0,0.0,0.03295454545454543,0.02339015151515153,0.13015061861215707,0.1331091984938139,0.7367401828940291,0.0,4,3,no,low,low
caregiver,B,intermediate_mapping,depression,rf_stability_500,11,18,0.8595345656498674,0.9369565217391304,0.8961988304093568,0.9165776760742435,0.896116875481955,0.9735380116959065,0.9552884806885966,0.05834127712090998,0.0024054014656018727,0.004068141367912448,0.004068141367912448,0.03986778540554281,0.05274281718789722,0.8811188811188811,0.0,0.11888111888111888,0.0,3,3,no,low,low
caregiver,C,caregiver_clean_core,adhd,rf_stability_500,83,23,0.9248695444040413,0.8400621118012422,0.912,0.8760310559006211,0.8804010161383036,0.9525652173913044,0.9575681689366806,0.0847429765820998,0.0036586908940093,0.0007763975155279379,0.0007763975155279379,-0.004844720496894356,-0.0019627329192546117,1.0,0.0,0.0,0.04393432654302219,1,1,no,low,low
caregiver,C,caregiver_clean_core,conduct,rf_deep_650,11,22,0.9787726358148894,0.8625,0.9927184466019419,0.927609223300971,0.916953642384106,0.9824863470873786,0.947624754659706,0.03961545371423114,0.0012135922330097082,0.0012135922330096527,-0.0012135922330096527,0.010709951456310679,0.016368325242718473,1.0,0.0,0.0,0.03289891926255562,1,1,no,low,low
caregiver,C,caregiver_clean_core,elimination,rf_compact_350,83,17,0.9270938965893094,0.6319875776397514,0.936,0.7839937888198758,0.7515787153800021,0.8732298136645963,0.8786104201097196,0.14939844149518577,0.004593229645263679,0.0023291925465838137,0.0023291925465838137,0.0016770186335403892,0.13287267080745344,1.0,0.0,0.0,0.03187988482106129,1,1,no,low,low
caregiver,C,caregiver_clean_core,anxiety,rf_compact_350,11,212,0.7850694444444444,0.9545454545454546,0.9215909090909091,0.938068181818182,0.8615459882583171,0.9685261707988979,0.9212459540898176,0.03882752016878678,0.0009841197770277896,0.0005681818181817455,-0.0005681818181817455,0.021969696969697,0.056534090909091006,1.0,0.0,0.0,0.09326758147512863,2,1,no,low,low
caregiver,C,caregiver_clean_core,depression,rf_compact_350,83,18,0.854476267876493,0.9434782608695652,0.8918128654970761,0.9176455631833205,0.8967117626985214,0.9745296211543351,0.9555916966421907,0.05790444619248364,0.0037874753215674,0.002212051868802245,0.002212051868802245,0.028508771929824567,0.04737159928807527,1.0,0.0,0.0,0.06721056721056723,1,1,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,adhd,rf_stability_500,83,23,0.9248695444040413,0.8400621118012422,0.912,0.8760310559006211,0.8804010161383036,0.9525652173913044,0.9575681689366806,0.08474297658209981,0.0036586908940093,0.0007763975155279379,0.0007763975155279379,-0.004844720496894356,-0.0019627329192546117,1.0,0.0,0.0,0.04393432654302219,1,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,conduct,rf_deep_650,29,23,0.9463264325196552,0.8687499999999999,0.9805825242718447,0.9246662621359223,0.9056556220503089,0.9741884101941749,0.9430767301154215,0.040990808918776024,0.0027622556260000343,0.004156553398058316,-0.004156553398058316,0.010133495145631055,0.009541868932038858,1.0,0.0,0.0,0.033140772271207056,1,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,elimination,rf_compact_350,83,17,0.9270938965893094,0.6319875776397514,0.936,0.7839937888198758,0.7515787153800021,0.8732298136645963,0.8786104201097196,0.1493984414951858,0.004593229645263679,0.0023291925465838137,0.0023291925465838137,0.0016770186335403892,0.13287267080745344,1.0,0.0,0.0,0.03187988482106129,1,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,anxiety,rf_compact_350,29,214,0.8488824801730352,0.9696969696969697,0.9477272727272726,0.9587121212121211,0.9049618495440962,0.9807765151515152,0.9556105774532602,0.024271148532715087,0.006527912098338655,0.005681818181818232,-0.005681818181818232,0.01761363636363633,0.10378787878787873,1.0,0.0,0.0,0.09514084046794324,2,2,no,low,low
caregiver,C,caregiver_clean_plus_optional_self,depression,rf_compact_350,83,18,0.854476267876493,0.9434782608695652,0.8918128654970761,0.9176455631833205,0.8967117626985214,0.9745296211543351,0.9555916966421907,0.057904446192483666,0.0037874753215674,0.002212051868802245,0.002212051868802245,0.028508771929824567,0.04737159928807527,1.0,0.0,0.0,0.06721056721056723,1,2,no,low,low
