feature,importance_mean
num__cbcl_internalizing_proxy,0.024185571966268186
num__cbcl_anxious_depressed_proxy,0.018146004566773222
num__cbcl_externalizing_proxy,0.017727558974223394
num__swan_inattention_total,0.015063624515844792
num__cbcl_rule_breaking_proxy,0.014118076603147026
num__swan_hyperactive_impulsive_total,0.012925049382487086
num__swan_total,0.012647746694915151
num__scared_p_total,0.01203171180469194
num__icut_uncaring,0.011057805892658793
num__ari_p_symptom_total,0.010797969219968888
num__cbcl_aggressive_behavior_proxy,0.010332460918475474
num__mfq_p_total,0.009835846139357975
num__cbcl_015,0.009826274959787457
num__cbcl_attention_problems_proxy,0.009645389016741942
num__cbcl_030,0.009486515134339285
num__sdq_total_difficulties,0.00944370223652039
num__scared_sr_total,0.008499312842104034
num__cbcl_082,0.00818298365714318
num__icut_callousness,0.00812252056841662
num__icut_total,0.00802645579772715
num__cbcl_014,0.008013277452223336
num__swan_08,0.007991049690080073
num__mfq_sr_total,0.00738588065740386
num__cbcl_033,0.0070831073438531065
num__cbcl_005,0.0070670157268472285
num__cbcl_003,0.006793380761928902
num__swan_05,0.006737729068402222
num__cbcl_010,0.006725734558257224
num__ari_sr_symptom_total,0.0064680026929186145
num__scared_p_generalized_anxiety,0.006310462326564401
num__cbcl_026,0.006246951389385615
num__swan_16,0.006191821308805754
num__cbcl_025,0.006123294049514732
num__cbcl_037,0.006050686196659149
num__sdq_peer_problems,0.005860950658030039
num__sdq_prosocial_behavior,0.005837568414515599
num__swan_12,0.0057700626191810435
num__cbcl_090,0.005568884952666452
num__age_years,0.005443386189123063
num__scared_sr_school_avoidance,0.005403046936988824
num__scared_sr_generalized_anxiety,0.005387821370542155
num__icut_unemotional,0.005322850683695862
num__cbcl_022,0.005291033286632767
num__swan_06,0.005283736009914569
num__cbcl_029,0.005214937732733967
num__scared_sr_separation_anxiety,0.005191788640310073
num__scared_sr_panic_somatic,0.005183743062731632
num__cbcl_009,0.0050981498663405286
num__cbcl_043,0.005085515504130575
num__cbcl_027,0.005041576306945028
num__cbcl_021,0.005014066544761845
num__cbcl_020,0.0049678607433464375
num__swan_03,0.00489916990873998
num__swan_14,0.004551611694996926
num__scared_sr_social_anxiety,0.004454799376492043
num__cbcl_019,0.0043511541681341475
num__cbcl_011,0.004288779098263179
num__cbcl_060,0.004254650252984264
num__cbcl_013,0.004250655820119111
num__cbcl_055,0.004221192116382875
num__cbcl_071,0.00413453344670853
num__sdq_hyperactivity_inattention,0.004063939566265126
num__cbcl_041,0.00405113904857894
num__cbcl_001,0.00403581462711649
num__cbcl_056,0.003998890326754436
num__mfq_sr_22,0.003948897858988502
num__cbcl_006,0.003939322104988921
num__cbcl_034,0.003933213931904363
num__cbcl_016,0.0038876616990934213
num__cbcl_023,0.0037872026856196456
num__cbcl_042,0.0037809980204438374
num__cbcl_089,0.0037276035257764275
num__cbcl_072,0.003637735403186662
num__scared_p_separation_anxiety,0.003616604107918103
num__cbcl_046,0.0035996435378229373
num__cdi_total,0.0035937719927641573
num__cbcl_052,0.0035405153174753907
num__cbcl_002,0.0035357835489937713
num__swan_13,0.0035145287859399714
num__scared_p_panic_somatic,0.003513746954986344
num__swan_11,0.0034802870995639438
num__cbcl_066,0.003479484977412796
num__cbcl_076,0.0034735413953136756
num__cbcl_059,0.0034648874043353775
num__cbcl_028,0.0034247587184361066
num__cbcl_024,0.003400083358970426
num__cbcl_084,0.0033899379644111807
num__cbcl_049,0.003362683506771881
num__swan_01,0.0033540819328089074
num__icut_20,0.0033331970077707584
num__sdq_emotional_symptoms,0.0032841934942678453
num__cbcl_077,0.0032077169024333206
num__swan_02,0.0031615812907400836
num__cbcl_061,0.0031398072671993587
num__swan_15,0.003114276881850329
num__cbcl_045,0.0031106722984282956
num__ari_sr_06,0.003077591119678087
num__icut_08,0.003071280780584415
num__sdq_conduct_problems,0.003051813014602265
num__cbcl_058,0.003036333726633995
num__cbcl_088,0.0030070167040740126
num__icut_11,0.0029673905790447066
num__cbcl_050,0.0029666089452631494
num__swan_09,0.0029560474982575653
num__cbcl_070,0.002947717252315446
num__cbcl_048,0.0029345284802501995
num__cbcl_018,0.002906301581760374
num__cbcl_040,0.00290579800755221
num__cbcl_074,0.0029049066852270336
num__cbcl_012,0.002901212123489768
num__swan_17,0.002883673165525478
num__swan_04,0.0028291714038547453
num__cbcl_067,0.002827516868173473
num__cbcl_062,0.00281105903405422
num__cbcl_007,0.0028067165886162546
num__cbcl_051,0.0027945645267207254
num__ari_p_01,0.002705630735154856
num__swan_18,0.00270137604773314
num__ari_sr_07,0.00269713814681097
num__cbcl_078,0.0026926949708668195
num__icut_10,0.0026897132610240342
num__swan_07,0.0025977044552475707
num__cbcl_057,0.0025633597152953875
num__ari_p_02,0.0025554205175209303
num__cbcl_004,0.002519308334243265
num__sdq_impact,0.002496228220492425
num__icut_12,0.0024946255629385897
num__cbcl_039,0.002401940281168924
num__ari_sr_02,0.002381091770893624
num__swan_10,0.0023800773466571587
num__scared_p_school_avoidance,0.0023566511297797243
num__icut_13,0.0023406518912006654
num__cbcl_065,0.0023404839743738437
num__cbcl_063,0.002306463803685027
num__ari_sr_05,0.002295058971786769
num__icut_17,0.0022907085381421834
num__icut_24,0.0022751280916997125
num__cbcl_083,0.0022620227165297585
num__ari_p_03,0.0022597199400316006
num__icut_06,0.0022480894621992767
num__icut_15,0.0022299700477402236
num__icut_02,0.0022290394748440056
num__icut_16,0.0022104866059858086
num__sdq_21,0.0021739440574434195
num__cbcl_008,0.002128013079163244
num__cbcl_094,0.0020561176942044727
num__cbcl_105,0.0020547506347886046
num__scared_p_social_anxiety,0.0020499639812614234
num__ari_p_impairment_item,0.001983546463083185
num__icut_19,0.001972743567428898
num__sdq_22,0.001972424292589074
num__cbcl_100,0.0019465377727693688
num__cbcl_044,0.0019292755316514722
num__ari_sr_impairment_item,0.00192148433409461
num__cbcl_081,0.0019019356947759583
num__sdq_19,0.001891079339805596
num__cbcl_086,0.001884260352803461
num__cbcl_053,0.0018672422938195818
num__cbcl_101,0.00186009024751876
num__cbcl_069,0.0018355581259732329
num__scared_p_35,0.0018211885485891657
num__mfq_sr_01,0.0018111630954999447
num__cbcl_108,0.001801861110862045
num__cbcl_064,0.001781630493344549
num__scared_sr_12,0.0017658403659021945
num__ari_sr_03,0.0017633057777097824
num__mfq_sr_11,0.0017392940200492376
num__sdq_18,0.00172756070016382
num__sdq_04,0.0017215679279703037
num__ari_sr_01,0.0017000424374220696
num__cbcl_038,0.001695171889148765
num__cbcl_102,0.0016913903135199217
num__icut_21,0.0016892291151991725
num__mfq_sr_30,0.001681363930175641
num__icut_04,0.0016803257019368388
num__mfq_p_05,0.0016632296613227127
num__mfq_p_18,0.001659959402759463
num__icut_14,0.0016566157149139125
num__ari_p_06,0.0016548241274678664
num__scared_p_41,0.0016415178172241693
num__sdq_05,0.0016269025381271348
num__sdq_09,0.0016140450745049724
num__cbcl_087,0.001613652978238225
num__cbcl_032,0.0015663835476662047
num__cbcl_080,0.0015654202264351522
num__icut_07,0.0015488685448819164
num__mfq_sr_23,0.0015272982008081482
num__scared_p_08,0.001526455920613879
num__cbcl_099,0.0015026535123365222
num__cbcl_095,0.001501525470441836
num__cbcl_073,0.0015011115794866864
num__cbcl_113,0.001488933374985213
num__cbcl_079,0.0014838911920871682
num__icut_01,0.001475417330583304
num__cbcl_109,0.0014539990528636612
num__cbcl_103,0.0014385663474458204
num__cbcl_115,0.001423606785038566
num__cbcl_091,0.001423078362736312
num__sdq_17,0.0014160384156811502
num__ari_p_05,0.0014148369443705464
num__cbcl_117,0.0013985271749397334
num__icut_09,0.001377080440734976
num__cbcl_085,0.0013575873804253917
num__icut_03,0.0013499380410049507
num__cbcl_116,0.0013380270728036803
num__ari_sr_04,0.0013316722092091102
num__scared_p_15,0.0013314276832607369
num__mfq_sr_12,0.0013287672900882687
num__cbcl_106,0.0013080051857797125
num__cbcl_035,0.0013051500000355928
num__ari_p_07,0.00128821726027352
num__sdq_08,0.001274537375603617
num__icut_22,0.0012644981831256565
num__cbcl_036,0.0012639006174225249
num__sdq_16,0.0012614666832986596
num__cbcl_031,0.0012534421036012526
num__sdq_07,0.0012401471820484666
num__cbcl_111,0.0012303404375686986
num__sdq_11,0.0012273808100598063
num__mfq_p_10,0.0012253243606695692
num__scared_sr_40,0.0012138817720975512
num__cdi_04,0.0012083065739072283
num__icut_18,0.0012009650135507044
num__sdq_13,0.0011967921676270476
num__scared_p_38,0.0011854950352095182
num__cbcl_107,0.0011729045728669355
num__icut_05,0.0011699112242999654
num__scared_p_possible_anxiety_disorder_cut25,0.0011698478906257013
num__cbcl_098,0.0011637837679135982
num__cbcl_093,0.0011537643694294435
num__sdq_06,0.0011430288231705165
num__ari_p_04,0.001112754053386348
cat__site_CBIC,0.0011073433679778468
cat__sex_assigned_at_birth_Male,0.0011023130414681934
num__cbcl_096,0.001097030668477835
num__scared_p_07,0.0010879747733894595
num__mfq_sr_25,0.0010816412947125974
num__cdi_01,0.0010816233180338394
num__scared_p_14,0.0010772312016542212
num__scared_sr_11,0.0010768642141601938
num__scared_p_19,0.001075200032628072
cat__sex_assigned_at_birth_Female,0.0010747260723772847
num__mfq_p_28,0.001068851501263817
num__mfq_sr_10,0.0010556723471032274
num__mfq_p_29,0.0010473087833516043
num__sdq_20,0.0010447451377909314
num__mfq_p_04,0.0010416208191746244
num__cdi_13,0.0010384937326609024
num__mfq_sr_32,0.0010374517042617635
num__cdi_18,0.001037351393448101
num__scared_sr_possible_anxiety_disorder_cut25,0.0010262687177381533
num__cbcl_104,0.001013999212574808
num__scared_p_40,0.0010136791075446767
num__scared_sr_27,0.0010108203512427878
num__cdi_09,0.0009855939759839329
num__mfq_sr_07,0.0009783685184715355
num__sdq_12,0.000971531902284121
num__cdi_03,0.0009707121720924659
num__sdq_14,0.0009700158937134123
num__sdq_15,0.0009666873029225448
num__icut_23,0.0009635207177559411
num__cbcl_054,0.0009635039539827667
num__cdi_23,0.000956707882725015
num__mfq_p_13,0.0009550395046532573
num__scared_p_12,0.0009511334555104142
num__mfq_sr_21,0.0009489134340596183
num__scared_sr_32,0.0009455184623583457
num__mfq_p_08,0.0009440187930406707
num__cdi_21,0.0009352604957228715
num__scared_p_28,0.000931471444819126
num__scared_sr_30,0.0009271773564775723
num__scared_sr_33,0.0009267492553951782
num__sdq_10,0.0009253324944093167
num__mfq_sr_15,0.0009244571406990456
num__mfq_sr_31,0.0009178465338414369
num__scared_sr_14,0.0009153787364579062
num__mfq_sr_08,0.0009133445338077438
num__scared_sr_41,0.0009111454263231363
num__sdq_24,0.0009016614980919227
num__mfq_p_09,0.0008992289741332263
num__scared_p_26,0.0008985237601167668
num__cbcl_118,0.0008983417017983843
num__mfq_sr_18,0.0008907108700421898
num__scared_sr_05,0.000885953483641652
num__scared_sr_09,0.0008821886209830875
num__sdq_25,0.0008819012278287781
num__cdi_19,0.0008806345851235223
num__mfq_sr_14,0.0008735226034101802
num__scared_sr_02,0.0008697100634619676
num__mfq_p_27,0.0008671957515680884
num__cdi_14,0.0008661136928040684
num__cdi_10,0.0008641282926477036
num__scared_sr_37,0.0008640276101112097
num__cdi_11,0.0008618093985228887
num__scared_sr_08,0.0008541159444490168
num__mfq_sr_33,0.0008479459644460044
num__mfq_sr_13,0.000841033294816599
num__mfq_p_14,0.0008409114782628616
num__mfq_sr_09,0.0008405657151546604
num__sdq_02,0.0008276720188723815
num__cdi_08,0.0008265940585192932
num__scared_sr_21,0.0008261045922540467
num__cbcl_047,0.0008247935708990657
num__scared_sr_18,0.0008235600952896605
num__scared_sr_04,0.000823125918743939
num__cbcl_114,0.0008228202756495227
num__mfq_sr_27,0.0008089618984218874
num__mfq_p_23,0.0008041886560360472
num__cbcl_097,0.0008009475999052355
num__cdi_22,0.0008002188326376296
num__sdq_01,0.0007996434630315894
num__mfq_p_01,0.000798512853934045
num__cbcl_017,0.0007977195909254144
num__scared_p_03,0.000796985941918071
num__mfq_p_21,0.0007953195617258319
num__mfq_sr_05,0.0007884693843170889
num__cbcl_112,0.0007854898512726111
num__scared_p_33,0.0007801448698201338
num__scared_p_27,0.0007799925618316467
num__scared_sr_10,0.0007782207976463532
num__scared_p_10,0.000771589990313376
cat__site_RUBIC,0.0007707835971600248
num__scared_p_05,0.0007700908758522777
num__cdi_07,0.0007670293489179793
num__mfq_p_06,0.0007516257331933547
num__mfq_p_03,0.0007515312039673899
num__cdi_06,0.0007490217068376783
num__scared_sr_06,0.0007454931736964099
num__cbcl_092,0.0007334610601520878
num__mfq_p_11,0.0007332104954849512
num__scared_p_23,0.0007312225700413293
num__cdi_16,0.0007287805837677623
num__scared_sr_20,0.000727053000337084
num__scared_p_22,0.0007262515939776225
num__cdi_15,0.0007259594557892611
num__sdq_03,0.0007138454331325763
num__cbcl_068,0.0007137950504732956
num__scared_sr_39,0.0007109947261058202
num__mfq_sr_16,0.0007088195070137733
num__cdi_24,0.0007086121686267038
num__mfq_p_16,0.0007071391982779428
num__cdi_12,0.0007070606902407477
num__scared_sr_17,0.0007067599824855521
num__scared_p_30,0.0006909915758008241
num__mfq_p_17,0.0006868342854576134
num__mfq_sr_28,0.0006816102043934495
num__mfq_sr_17,0.0006784511660806815
num__scared_sr_25,0.0006769652013820175
num__mfq_p_20,0.0006743718193982844
num__scared_p_20,0.0006730858724629722
num__cdi_02,0.0006720149585416021
num__mfq_sr_03,0.0006712460935700215
num__mfq_p_24,0.0006697870820703822
num__mfq_p_30,0.0006663868412033989
num__mfq_p_07,0.0006659244992808401
num__cdi_05,0.0006604146895735035
num__scared_sr_07,0.0006571859507687663
num__scared_p_13,0.0006503599692104691
num__cbcl_110,0.0006467031380390348
num__cdi_20,0.000645413596041951
num__scared_p_18,0.0006433263284848479
num__scared_p_02,0.0006332901163559536
num__mfq_sr_29,0.0006287455071437674
num__scared_sr_19,0.0006285193272493905
num__mfq_p_12,0.0006282902785294161
num__mfq_p_02,0.000622762039263005
num__scared_sr_29,0.0006219541190208204
num__mfq_sr_06,0.0006140490054758248
num__mfq_p_31,0.0006132284219230059
num__scared_sr_15,0.0006104560985449603
num__mfq_sr_04,0.0006080931036215623
num__scared_p_29,0.0006056062975096254
num__scared_p_32,0.0006054495975421209
num__scared_sr_28,0.0006028850509400099
num__scared_p_34,0.0005963743613028305
num__scared_sr_26,0.0005951336356051485
num__scared_sr_31,0.0005920365472485754
num__scared_p_24,0.0005919150479337911
num__scared_sr_16,0.0005906965771672176
num__scared_p_39,0.0005773127289683539
num__mfq_sr_24,0.000568785526529125
num__scared_sr_01,0.0005676148213036757
num__scared_p_01,0.000566593765070908
num__scared_p_06,0.000565584206294389
num__mfq_p_25,0.0005585679092940925
num__scared_p_04,0.0005576953072672562
num__mfq_sr_20,0.0005528821154680509
num__mfq_p_26,0.0005472739869602992
num__mfq_sr_19,0.000542817751427984
num__scared_sr_23,0.0005422684857259483
num__mfq_p_32,0.0005412719906360233
num__scared_p_31,0.0005407507641940438
num__scared_sr_34,0.0005372451172519759
num__mfq_p_33,0.0005303776661377514
num__scared_p_16,0.000527890316636026
num__scared_p_36,0.0005251139632235144
num__scared_p_37,0.0005189212791700791
num__scared_sr_13,0.0005162158279735414
num__cdi_26,0.0005161002665207297
num__cbcl_075,0.0005141855941935375
num__scared_sr_38,0.0005139348271334709
num__mfq_p_22,0.0005086971811217222
cat__site_Staten Island,0.0004967675509714315
num__scared_p_11,0.0004909282242169598
num__scared_p_17,0.00048747070003869465
num__cdi_25,0.00048669637243606566
num__mfq_p_15,0.00048625388744686856
num__mfq_sr_26,0.00047334496608595223
num__scared_p_25,0.0004694992779207506
num__scared_sr_24,0.00045534789672574936
num__mfq_sr_02,0.0004450191652394608
cat__site_CUNY,0.0004399884373661651
num__scared_sr_35,0.0004376503343412943
num__scared_sr_36,0.0004372566883984591
num__scared_sr_03,0.0004371459550261989
num__mfq_p_19,0.00042424855539195905
num__sdq_23,0.0004224127505403705
num__scared_sr_22,0.0003990153330284672
num__scared_p_09,0.0003971857333691496
num__cdi_17,0.000392650466143403
num__cdi_27,0.0003844655814003625
num__scared_p_21,0.00034001497979048944
num__conners_22,4.245296306957819e-05
num__conners_27,1.870560186199378e-05
num__ysr_022,1.1030989442283549e-05
num__conners_04,7.517995525292759e-06
num__conners_02,7.423536050693331e-06
num__ysr_016,4.010795299800627e-06
num__ysr_099,3.9838078339333446e-06
num__conners_conduct_problems,3.5897401240587028e-06
num__ysr_059,2.6954432377373397e-06
num__ysr_068,1.1422494090507705e-06
num__conners_01,5.600380041915339e-07
num__ysr_089,5.518990832442526e-07
num__conners_total,4.860964554507461e-07
num__ysr_072,0.0
num__ysr_076,0.0
num__ysr_077,0.0
num__ysr_073,0.0
num__ysr_081,0.0
num__ysr_074,0.0
num__ysr_075,0.0
num__ysr_080,0.0
num__ysr_079,0.0
num__ysr_078,0.0
num__ysr_082,0.0
num__ysr_067,0.0
num__ysr_071,0.0
num__ysr_058,0.0
num__ysr_050,0.0
num__ysr_051,0.0
num__ysr_052,0.0
num__ysr_053,0.0
num__ysr_054,0.0
num__ysr_055,0.0
num__ysr_056,0.0
num__ysr_057,0.0
num__ysr_060,0.0
num__ysr_070,0.0
num__ysr_061,0.0
num__ysr_062,0.0
num__ysr_063,0.0
num__ysr_064,0.0
num__ysr_065,0.0
num__ysr_066,0.0
num__ysr_084,0.0
num__ysr_069,0.0
num__ysr_083,0.0
num__ysr_094,0.0
num__ysr_085,0.0
num__ysr_110,0.0
num__ysr_104,0.0
num__ysr_105,0.0
num__ysr_106,0.0
num__has_ari_sr,0.0
num__ysr_107,0.0
num__ysr_108,0.0
num__ysr_109,0.0
num__ysr_111,0.0
num__ysr_086,0.0
num__ysr_112,0.0
num__ysr_anxious_depressed_proxy,0.0
num__ysr_attention_problems_proxy,0.0
num__ysr_rule_breaking_proxy,0.0
num__ysr_aggressive_behavior_proxy,0.0
num__ysr_internalizing_proxy,0.0
num__ysr_externalizing_proxy,0.0
num__ysr_103,0.0
num__ysr_102,0.0
num__ysr_101,0.0
num__ysr_100,0.0
num__ysr_087,0.0
num__ysr_088,0.0
num__ysr_090,0.0
num__ysr_091,0.0
num__ysr_092,0.0
num__ysr_093,0.0
num__has_mfq_sr,0.0
num__has_cbcl,0.0
num__ysr_048,0.0
num__ysr_095,0.0
num__has_ari_p,0.0
num__ysr_096,0.0
cat__sex_assigned_at_birth_Unknown,0.0
num__ysr_097,0.0
num__ysr_098,0.0
num__ysr_049,0.0
num__conners_20,0.0
num__ysr_047,0.0
num__has_mfq_p,0.0
num__conners_25,0.0
num__has_scared_sr,0.0
num__conners_26,0.0
num__has_swan,0.0
num__conners_cognitive_problems,0.0
num__conners_hyperactivity,0.0
num__has_icut,0.0
num__has_cdi,0.0
num__conners_23,0.0
num__has_scared_p,0.0
num__release,0.0
num__has_ysr,0.0
num__ysr_001,0.0
num__ysr_002,0.0
num__ysr_003,0.0
num__ysr_004,0.0
num__conners_24,0.0
num__has_conners,0.0
num__ysr_046,0.0
num__conners_13,0.0
num__conners_18,0.0
num__conners_17,0.0
num__conners_16,0.0
num__conners_15,0.0
num__has_sdq,0.0
num__conners_21,0.0
num__conners_14,0.0
num__conners_12,0.0
num__conners_03,0.0
num__conners_11,0.0
num__conners_10,0.0
num__conners_09,0.0
num__conners_08,0.0
num__conners_07,0.0
num__conners_06,0.0
num__conners_05,0.0
num__ysr_005,0.0
num__ysr_006,0.0
num__ysr_007,0.0
num__ysr_037,0.0
num__ysr_030,0.0
num__ysr_031,0.0
num__conners_19,0.0
num__ysr_033,0.0
num__ysr_034,0.0
num__ysr_035,0.0
num__ysr_036,0.0
num__ysr_038,0.0
num__ysr_008,0.0
num__ysr_039,0.0
num__ysr_040,0.0
num__ysr_041,0.0
num__ysr_042,0.0
num__ysr_043,0.0
num__ysr_044,0.0
num__ysr_045,0.0
num__ysr_029,0.0
num__ysr_028,0.0
num__ysr_027,0.0
num__ysr_026,0.0
num__ysr_009,0.0
num__ysr_010,0.0
num__ysr_011,0.0
num__ysr_012,0.0
num__ysr_013,0.0
num__ysr_014,0.0
num__ysr_015,0.0
num__ysr_017,0.0
num__ysr_018,0.0
num__ysr_019,0.0
num__ysr_020,0.0
num__ysr_021,0.0
num__ysr_023,0.0
num__ysr_024,0.0
num__ysr_025,0.0
num__ysr_032,0.0
